324,36
324,41
162,36
162,33
161,32
159,53
131,54
130,32
130,55
135,57
134,99
129,99
211,37
234,38
234,100
210,100
324,100
324,105
106,105
107,99
323,39
328,38
329,276
324,275
331,57
330,70
422,76
423,65
329,108
330,115
343,101
342,98
343,84
342,99
359,100
360,85
330,133
331,139
406,146
406,142
328,159
329,165
403,172
402,167
329,247
330,241
373,242
372,246
367,247
374,247
373,279
368,278
308,142
324,142
324,150
308,149
100,104
108,104
99,210
105,210
105,195
105,201
324,196
324,201
109,143
109,150
172,148
172,142
207,108
214,117
230,117
238,107
215,117
212,179
230,179
231,117
213,134
202,144
211,158
221,145
233,135
243,146
231,159
226,146
247,144
248,148
278,147
278,143
177,143
179,147
202,148
203,141
213,180
205,192
238,191
230,179
172,105
177,106
173,210
178,210
130,184
135,183
130,213
136,212
148,237
154,237
149,245
155,244
211,235
216,235
210,245
216,245
229,235
235,234
229,247
233,247
288,235
292,236
286,244
290,245
278,200
281,200
278,213
283,213
216,200
225,201
217,280
229,279
252,175
254,197
279,192
278,177
99,31
99,38
62,40
61,31
59,39
65,39
60,45
67,45
58,42
54,34
39,54
36,49
39,61
29,61
35,52
39,54
120,58
120,63
45,64
45,59
37,66
30,67
36,171
27,171
36,176
30,176
33,279
27,279
35,211
35,215
117,211
117,217
115,216
119,216
116,244
120,244
116,244
122,244
127,249
124,252
129,252
126,252
124,280
130,280
71,282
74,281
70,258
72,258
32,279
31,286
328,282
329,288
330,279
332,288
372,279
371,288
36,287
41,286
37,306
43,306
25,281
30,282
26,348
30,348
26,349
33,349
39,399
42,394
40,400
45,395
85,416
86,412
70,285
76,286
69,387
74,386
70,387
76,386
85,414
90,408
90,411
91,418
187,411
188,417
189,406
189,418
206,416
206,409
180,356
156,356
156,374
178,376
216,287
227,286
218,353
228,354
180,354
180,359
282,353
282,357
279,353
285,354
285,315
279,315
226,313
227,317
380,317
379,313
376,291
385,293
377,364
383,364
384,366
385,370
362,372
361,369
356,375
360,376
354,426
360,426
357,408
357,416
237,416
238,411
216,354
232,354
216,405
231,404
208,406
240,405
234,416
213,416
213,418
231,419
234,451
210,451
